n,Yes,No,609794
11/15/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Bank of America,NC,28078,,,Web,11/15/2013,Closed with explanation,Yes,No,599591
12/26/2013,Debt collection,Payday loan,False statements or representation,Attempted to collect wrong amount,,,"CashCall, Inc.",AL,35750,,,Postal mail,01/06/2014,Closed with explanation,Yes,Yes,646306
12/10/2013,Consumer Loan,Installment loan,Managing the loan or lease,,,,M&T Bank Corporation,NY,14047,,,Referral,12/12/2013,Closed with explanation,Yes,No,629277
01/14/2014,Credit reporting,,Incorrect information on credit report,Personal information,,,Experian,KY,41018,Servicemember,,Web,01/14/2014,Closed with non-monetary relief,Yes,No,667963
01/07/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,,,Southern Management Systems Inc.,FL,32839,,,Web,01/08/2014,Closed with explanation,Yes,No,657169
01/07/2014,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,Wells Fargo & Company,MD,20794,,,Web,01/14/2014,Closed with explanation,Yes,Yes,657089
11/15/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,VA,22182,,,Web,11/26/2013,Closed with explanation,Yes,No,597320
12/26/2013,Debt collection,Medical,Communication tactics,Frequent or repeated calls,,,"HOVG, LLC",TX,76018,,,Web,12/26/2013,Closed with explanation,Yes,No,646172
12/10/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,Citibank,PA,19083,,,Postal mail,12/12/2013,Closed with explanation,Yes,No,628962
12/10/2013,Credit card,,Other,,,,Bank of America,PA,19083,,,Postal mail,12/11/2013,Closed with explanation,Yes,No,628963
01/14/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Bank of America,FL,33027,,,Web,01/14/2014,Closed with explanation,Yes,Yes,668022
12/26/2013,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,,"TransUnion Intermediate Holdings, Inc.",OR,97224,,,Web,01/02/2014,Closed with non-monetary relief,Yes,No,646290
12/26/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,Ocwen,CA,92264,,,Web,12/31/2013,Closed with explanation,Yes,No,646241
12/26/2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,Citibank,GA,30184,,,Web,12/31/2013,Closed with explanation,Yes,No,646175
01/07/2014,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"Commonwealth Financial Systems, Inc.",FL,34982,,,Web,01/06/2014,Closed with explanation,Yes,Yes,657172
01/07/2014,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,,Experian,MO,64109,,,Web,02/04/2014,Closed with non-monetary relief,Yes,No,657174
11/15/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",MA,02122,,,Web,11/29/2013,Closed with explanation,Yes,No,599607
12/10/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,HSBC North America Holdings Inc.,PA,18421,,,Web,12/16/2013,Closed with explanation,Yes,Yes,628024
12/18/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,PNC Bank N.A.,PA,16506,,,Web,12/24/2013,Closed with explanation,Yes,Yes,643862
01/14/2014,Bank account or service,Checking account,"Account opening, closing, or management",,,,PNC Bank N.A.,AL,35601,,,Referral,01/17/2014,Closed,Yes,No,668080
01/14/2014,Debt collection,Auto,Cont'd attempts collect debt not owed,Debt was paid,,,"Vital Solutions, Inc.",IL,60084,,,Web,01/14/2014,Closed with explanation,Yes,No,668027
01/07/2014,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,Encore Capital Group,CA,91504,,,Web,01/24/2014,Closed with non-monetary relief,Yes,No,658370
01/07/2014,Debt collection,Payday loan,Communication tactics,Frequent or repeated calls,,,Delbert Services,VA,20187,,,Web,01/06/2014,Closed with explanation,Yes,No,658907
12/03/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,JPMorgan Chase & Co.,CA,92085,,,Postal mail,12/03/2013,Closed with explanation,Yes,Yes,620317
12/10/2013,Credit card,,Identity theft / Fraud / Embezzlement,,,,JPMorgan Chase & Co.,FL,33309,,,Fax,12/11/2013,Closed with explanation,Yes,Yes,627633
12/26/2013,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,LexisNexis,MN,55346,,,Web,12/31/2013,Closed with explanation,Yes,No,646181
11/15/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"TransUnion Intermediate Holdings, Inc.",MO,65616,Servicemember,,Postal mail,12/11/2013,Closed with explanation,Yes,Yes,599609
01/14/2014,Debt collection,Auto,Cont'd attempts collect debt not owed,Debt was paid,,,Nissan Motor Acceptance Corporation,IL,60084,,,Web,01/14/2014,Closed with explanation,Yes,No,668028
01/14/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,NY,13323,,,Web,01/14/2014,Closed with explanation,Yes,No,668029
01/07/2014,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,,,"Adsen & Associates, LLC",TX,78045,,,Web,02/07/2014,Closed,Yes,No,657179
01/07/2014,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,,,Encore Capital Group,NY,14225,,,Web,01/08/2014,Closed with explanation,Yes,No,657180
01/07/2014,Credit reporting,,Incorrect information on credit report,Account status,,,Encore Capital Group,AZ,85353,Older American,,Web,01/13/2014,Closed with non-monetary relief,Yes,No,657168
11/22/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,OH,43203,,,Web,11/22/2013,Closed with explanation,Yes,No,609182
11/22/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Regions Financial Corporation,NC,27518,,,Web,11/25/2013,Closed with explanation,Yes,No,609183
12/03/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,FL,34668,Servicemember,,Phone,12/04/2013,Closed with explanation,Yes,No,619381
12/03/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,FL,32716,,,Referral,12/04/2013,Closed with explanation,Yes,No,620269
